no,variable_name,domain,A1,A2,A3,B1,B2,C1,C2,D1,D2,D3,E1,E2,F1,F2,G1,G2
v01,Usual residents per square kilometre,Demographic,52.52384882,86.69621048,65.31200194,91.14483605,68.48732057,92.99243585,58.25555771,168.7368532,248.5467038,120.0897797,198.7660743,147.7262586,54.49017845,79.32384108,27.05729767,39.85080184
v02,Aged 4 years and under,Demographic,105.6354107,106.2613092,84.43157587,94.7698907,112.3944342,120.8575966,104.7230607,92.14081227,71.6985311,74.44365214,118.3057986,110.9918758,110.416455,113.0433703,82.09842749,97.78779938
v03,Aged 5 to 14 years,Demographic,118.3608276,90.15175311,88.92834288,85.74428016,97.14103594,133.4336018,113.1381371,60.06500004,24.84618032,54.0730174,127.7085151,120.0896354,131.5207981,128.5426433,112.6922925,113.5639392
v04,Aged 25 to 44 years,Demographic,76.77506156,112.7972641,87.86258921,110.210232,103.8526846,87.77609654,87.4306387,145.3789601,179.321255,122.439714,96.43431811,93.53205509,78.73773496,86.37787956,60.36406743,70.70944901
v05,Aged 45 to 64 years,Demographic,121.4151783,100.1285796,117.2433473,100.64281,101.4516147,97.85465276,105.3001516,72.36788038,46.74879381,95.37603757,84.36537972,102.3376846,110.8368197,105.0224203,120.7415019,118.1671477
v06,Aged 65 to 84 years,Demographic,137.0700293,91.78260086,140.7702224,88.31265974,98.8492727,84.76586798,113.0785342,45.71817651,20.70747614,101.0228925,62.61147958,80.00629435,104.4213166,84.91801112,190.2035942,155.7615718
v07,Aged 85 years and over,Demographic,136.268193,71.33788388,158.1982326,77.23834223,116.3979977,74.57375995,115.2894591,31.50036221,12.98204292,103.288673,58.62701484,75.64220397,99.79464755,73.66719228,225.2828095,169.9111852
v08,Country of birth: Europe: United Kingdom,Ethnicity and Origins,122.282302,117.1679871,88.48263348,109.6298945,102.7522023,79.3151067,81.28749561,83.629754,71.11103855,78.87725668,92.58963325,93.5068809,120.0466224,95.11918985,127.674356,136.5276468
v09,Country of birth: Europe: EU countries,Ethnicity and Origins,77.88820354,93.50927665,127.0831422,96.0793423,114.7702795,78.90269447,113.9925614,137.8049722,160.2192985,151.1797023,81.31512754,91.59250695,73.38519606,100.1605206,51.85831712,50.25885868
v10,Country of birth: Europe: Non-EU countries,Ethnicity and Origins,74.97295216,70.92751422,151.7669453,80.10847259,111.1392738,70.42855923,72.68915983,124.8613549,155.1082915,161.4987131,81.80472556,135.0800328,80.09349099,132.1091669,44.31459964,53.09674749
