no,variable_name,domain,A,B,C,D,E,F,G
v01,Usual residents per square kilometre,Demographic,73.78643778652231,86.60835391377478,75.72452622498538,182.6742938138819,171.42236856182598,73.31731204435195,36.46670765465774
v02,Aged 4 years and under,Demographic,99.49640792392115,101.33003417459835,108.69484021955304,80.2610540823196,110.93977686232672,110.12989727448965,89.1479894627915
v03,Aged 5 to 14 years,Demographic,96.97259149184448,87.63598493287323,115.82189368971576,48.25582501049393,117.32960150421816,125.03397144089365,108.95013192996079
v04,Aged 25 to 44 years,Demographic,96.54347112530394,111.00166500360828,90.60259373120208,150.25255048559583,97.49059170759124,85.8683240964462,68.24080385025245
v05,Aged 45 to 64 years,Demographic,109.77240088947127,98.8375897972767,100.45720087465718,72.83759296437694,96.029797084812,105.2879181787206,116.77750021068529
v06,Aged 65 to 84 years,Demographic,117.50192369274019,91.0253604642926,100.68884389127182,57.54613352394775,74.18357750696538,91.41980652336605,167.6343543974162
v07,Aged 85 years and over,Demographic,113.33139596025703,93.19012456446433,98.60462400485227,50.575230890084185,70.02959751452023,83.33658010552853,190.93244696029345
v08,Country of birth: Europe: United Kingdom,Ethnicity and Origins,110.91694625132149,104.82245769704932,79.36409356956521,77.9968969013886,91.87219686770113,104.59548433013197,130.4319243828423
v09,Country of birth: Europe: EU countries,Ethnicity and Origins,98.30292920408723,108.251442607166,105.01835793652756,152.32906923609158,92.18818957332763,91.20391866784755,52.70609277495245
v10,Country of birth: Europe: Non-EU countries,Ethnicity and Origins,93.20861238914829,96.98282589785623,73.79240501340924,147.92408577579317,125.90330148450633,111.84077922336006,50.347990215926686
v11,Country of birth: Africa,Ethnicity and Origins,54.745319259373716,91.398944475993,108.11611139165021,76.4793486789387,171.41398129423234,136.7912721183391,61.05502278147288
v12,Ethnic group: Bangladeshi,Ethnicity and Origins,14.115963892806613,52.52791020955717,170.8444934747597,59.31912695734363,268.5851393989173,112.22666578734628,22.380700279269345
v13,Ethnic group: Chinese,Ethnicity and Origins,95.32019769506623,80.57293519371174,46.05289350331302,256.47378818081046,83.05270413501958,58.15957653381858,80.3679047582604
v14,Ethnic group: Indian,Ethnicity and Origins,45.08240653156568,47.36288186618317,310.5530891589723,82.9901277121697,42.53202923762673,54.66315090681254,116.81631458666992
v15,Ethnic group: Pakistani,Ethnicity and Origins,28.1425942342177,58.568145492431064,328.9944870035701,44.33697381731552,63.235246447712534,111.16049338758532,65.5620596171678
v16,Ethnic group: Other Asian,Ethnicity and Origins,54.74912967757339,73.68711944482533,204.4874678964682,98.54690651703292,95.930866053239,99.63839036767848,72.96012004318271
v17,Ethnic group: Black,Ethnicity and Origins,29.562311479175474,111.10530680933522,79.54484478476704,53.14647776039906,207.1820010842272,180.72529522602608,38.73376285606995
