Regions Code,Regions,Disability (3 categories) Code,Disability (3 categories),Age (6 categories) Code,Age (6 categories),Observation
E12000001,North East,-8,Does not apply,1,Aged 15 years and under,0
E12000001,North East,-8,Does not apply,2,Aged 16 to 24 years,0
E12000001,North East,-8,Does not apply,3,Aged 25 to 34 years,0
E12000001,North East,-8,Does not apply,4,Aged 35 to 49 years,0
E12000001,North East,-8,Does not apply,5,Aged 50 to 64 years,0
E12000001,North East,-8,Does not apply,6,Aged 65 years and over,0
E12000001,North East,1,Disabled under the Equality Act,1,Aged 15 years and under,36120
E12000001,North East,1,Disabled under the Equality Act,2,Aged 16 to 24 years,40175
E12000001,North East,1,Disabled under the Equality Act,3,Aged 25 to 34 years,48853
E12000001,North East,1,Disabled under the Equality Act,4,Aged 35 to 49 years,85808
E12000001,North East,1,Disabled under the Equality Act,5,Aged 50 to 64 years,141537
E12000001,North East,1,Disabled under the Equality Act,6,Aged 65 years and over,214810
E12000001,North East,2,Not disabled under the Equality Act,1,Aged 15 years and under,431932
E12000001,North East,2,Not disabled under the Equality Act,2,Aged 16 to 24 years,243974
E12000001,North East,2,Not disabled under the Equality Act,3,Aged 25 to 34 years,279856
E12000001,North East,2,Not disabled under the Equality Act,4,Aged 35 to 49 years,388778
E12000001,North East,2,Not disabled under the Equality Act,5,Aged 50 to 64 years,409423
E12000001,North East,2,Not disabled under the Equality Act,6,Aged 65 years and over,325749
E12000002,North West,-8,Does not apply,1,Aged 15 years and under,0
E12000002,North West,-8,Does not apply,2,Aged 16 to 24 years,0
E12000002,North West,-8,Does not apply,3,Aged 25 to 34 years,0
E12000002,North West,-8,Does not apply,4,Aged 35 to 49 years,0
E12000002,North West,-8,Does not apply,5,Aged 50 to 64 years,0
E12000002,North West,-8,Does not apply,6,Aged 65 years and over,0
E12000002,North West,1,Disabled under the Equality Act,1,Aged 15 years and under,95686
E12000002,North West,1,Disabled under the Equality Act,2,Aged 16 to 24 years,104159
E12000002,North West,1,Disabled under the Equality Act,3,Aged 25 to 34 years,129161
E12000002,North West,1,Disabled under the Equality Act,4,Aged 35 to 49 years,226914
E12000002,North West,1,Disabled under the Equality Act,5,Aged 50 to 64 years,355992
E12000002,North West,1,Disabled under the Equality Act,6,Aged 65 years and over,528848
E12000002,North West,2,Not disabled under the Equality Act,1,Aged 15 years and under,1296076
E12000002,North West,2,Not disabled under the Equality Act,2,Aged 16 to 24 years,693864
E12000002,North West,2,Not disabled under the Equality Act,3,Aged 25 to 34 years,853598
E12000002,North West,2,Not disabled under the Equality Act,4,Aged 35 to 49 years,1161873
E12000002,North West,2,Not disabled under the Equality Act,5,Aged 50 to 64 years,1113758
E12000002,North West,2,Not disabled under the Equality Act,6,Aged 65 years and over,857470
E12000003,Yorkshire and The Humber,-8,Does not apply,1,Aged 15 years and under,0
E12000003,Yorkshire and The Humber,-8,Does not apply,2,Aged 16 to 24 years,0
E12000003,Yorkshire and The Humber,-8,Does not apply,3,Aged 25 to 34 years,0
E12000003,Yorkshire and The Humber,-8,Does not apply,4,Aged 35 to 49 years,0
E12000003,Yorkshire and The Humber,-8,Does not apply,5,Aged 50 to 64 years,0
E12000003,Yorkshire and The Humber,-8,Does not apply,6,Aged 65 years and over,0
E12000003,Yorkshire and The Humber,1,Disabled under the Equality Act,1,Aged 15 years and under,64498
E12000003,Yorkshire and The Humber,1,Disabled under the Equality Act,2,Aged 16 to 24 years,77097
E12000003,Yorkshire and The Humber,1,Disabled under the Equality Act,3,Aged 25 to 34 years,92853
E12000003,Yorkshire and The Humber,1,Disabled under the Equality Act,4,Aged 35 to 49 years,159170
E12000003,Yorkshire and The Humber,1,Disabled under the Equality Act,5,Aged 50 to 64 years,245502
E12000003,Yorkshire and The Humber,1,Disabled under the Equality Act,6,Aged 65 years and over,382208
E12000003,Yorkshire and The Humber,2,Not disabled under the Equality Act,1,Aged 15 years and under,955977
E12000003,Yorkshire and The Humber,2,Not disabled under the Equality Act,2,Aged 16 to 24 years,530467
E12000003,Yorkshire and The Humber,2,Not disabled under the Equality Act,3,Aged 25 to 34 years,625379
E12000003,Yorkshire and The Humber,2,Not disabled under the Equality Act,4,Aged 35 to 49 years,852381
E12000003,Yorkshire and The Humber,2,Not disabled under the Equality Act,5,Aged 50 to 64 years,836464
E12000003,Yorkshire and The Humber,2,Not disabled under the Equality Act,6,Aged 65 years and over,658780
E12000004,East Midlands,-8,Does not apply,1,Aged 15 years and under,0
E12000004,East Midlands,-8,Does not apply,2,Aged 16 to 24 years,0
E12000004,East Midlands,-8,Does not apply,3,Aged 25 to 34 years,0
E12000004,East Midlands,-8,Does not apply,4,Aged 35 to 49 years,0
E12000004,East Midlands,-8,Does not apply,5,Aged 50 to 64 years,0
E12000004,East Midlands,-8,Does not apply,6,Aged 65 years and over,0
E12000004,East Midlands,1,Disabled under the Equality Act,1,Aged 15 years and under,57490
E12000004,East Midlands,1,Disabled under the Equality Act,2,Aged 16 to 24 years,68858
E12000004,East Midlands,1,Disabled under the Equality Act,3,Aged 25 to 34 years,77561
E12000004,East Midlands,1,Disabled under the Equality Act,4,Aged 35 to 49 years,134231
E12000004,East Midlands,1,Disabled under the Equality Act,5,Aged 50 to 64 years,212404
E12000004,East Midlands,1,Disabled under the Equality Act,6,Aged 65 years and over,344376
E12000004,East Midlands,2,Not disabled under the Equality Act,1,Aged 15 years and under,824519
E12000004,East Midlands,2,Not disabled under the Equality Act,2,Aged 16 to 24 years,469667
E12000004,East Midlands,2,Not disabled under the Equality Act,3,Aged 25 to 34 years,542739
E12000004,East Midlands,2,Not disabled under the Equality Act,4,Aged 35 to 49 years,774434
E12000004,East Midlands,2,Not disabled under the Equality Act,5,Aged 50 to 64 years,766376
E12000004,East Midlands,2,Not disabled under the Equality Act,6,Aged 65 years and over,607399
E12000005,West Midlands,-8,Does not apply,1,Aged 15 years and under,0
E12000005,West Midlands,-8,Does not apply,2,Aged 16 to 24 years,0
E12000005,West Midlands,-8,Does not apply,3,Aged 25 to 34 years,0
E12000005,West Midlands,-8,Does not apply,4,Aged 35 to 49 years,0
E12000005,West Midlands,-8,Does not apply,5,Aged 50 to 64 years,0
E12000005,West Midlands,-8,Does not apply,6,Aged 65 years and over,0
E12000005,West Midlands,1,Disabled under the Equality Act,1,Aged 15 years and under,72140
E12000005,West Midlands,1,Disabled under the Equality Act,2,Aged 16 to 24 years,78530
E12000005,West Midlands,1,Disabled under the Equality Act,3,Aged 25 to 34 years,93405
E12000005,West Midlands,1,Disabled under the Equality Act,4,Aged 35 to 49 years,164148
E12000005,West Midlands,1,Disabled under the Equality Act,5,Aged 50 to 64 years,255949
