SP_ID,oa_code,supgrp_cd,grp_cd
"1",E00023264,C,C3
"2",E00003359,F,F1
"3",E00023266,B,B1
"4",E00020264,B,B3
"5",E00023263,G,G1
"6",E00007412,G,G2
"7",E00007413,G,G2
"8",E00175260,B,B2
"9",E00175261,B,B1
"10",E00022334,F,F2
"11",E00022332,G,G1
"12",E00022336,G,G1
"13",E00022337,C,C1
"14",E00019889,E,E1
"15",E00019888,E,E2
"16",E00003861,A,A2
"17",E00019808,E,E2
"18",E00022333,G,G1
"19",E00022330,C,C1
"20",E00020267,D,D2
"21",E00023262,E,E1
"22",E00020266,E,E2
"23",E00023265,B,B1
"24",E00023267,G,G1
"25",E00002700,G,G1
"26",E00012704,C,C1
"27",E00002703,D,D1
"28",E00012705,C,C1
"29",E00002336,C,C2
"30",E00002337,G,G1
"31",E00012338,H,H1
"32",E00012339,F,F2
"33",E00012330,F,F2
"34",E00012331,F,F2
"35",E00012332,H,H1
"36",E00012333,E,E1
"37",E00002334,C,C2
"38",E00002335,C,C2
"39",E00014455,E,E2
"40",E00014452,F,F1
"41",E00014457,E,E2
"42",E00014454,E,E2
"43",E00021461,B,B2
"44",E00014456,E,E2
"45",E00021463,B,B2
"46",E00014453,B,B3
"47",E00014450,E,E1
"48",E00000371,A,A1
"49",E00024125,D,D2
"50",E00005372,A,A2
"51",E00000370,A,A1
"52",E00000372,A,A1
"53",E00000375,A,A1
"54",E00024126,D,D1
"55",E00000377,A,A1
"56",E00000376,A,A2
"57",E00167227,B,B2
"58",E00023936,D,D2
"59",E00023932,D,D1
"60",E00004395,E,E2
"61",E00004314,E,E1
"62",E00015594,B,B3
"63",E00015593,B,B3
"64",E00015517,F,F1
"65",E00015515,E,E1
"66",E00015516,E,E1
"67",E00015596,E,E1
"68",E00019521,H,H2
"69",E00015597,B,B1
"70",E00002783,C,C4
"71",E00012706,A,A1
"72",E00002702,G,G1
"73",E00012707,C,C1
"74",E00021279,B,B2
"75",E00002784,C,C2
"76",E00013768,E,E1
"77",E00002705,E,E1
"78",E00013769,E,E2
"79",E00008750,F,F1
"80",E00002704,E,E1
"81",E00002785,G,G1
"82",E00008753,E,E2
"83",E00002505,C,C4
"84",E00002502,C,C1
"85",E00002585,C,C1
"86",E00002584,E,E1
"87",E00002507,C,C4
"88",E00002504,C,C2
"89",E00008552,E,E2
"90",E00002586,G,G2
"91",E00002583,G,G1
"92",E00002582,E,E1
"93",E00011453,H,H2
"94",E00011450,H,H2
"95",E00011452,H,H1
"96",E00010469,B,B1
"97",E00011454,A,A2
"98",E00011455,A,A2
"99",E00011456,A,A2
"100",E00011457,H,H2
"101",E00011451,H,H2
"102",E00017487,F,F1
"103",E00008781,B,B1
"104",E00008951,E,E1
"105",E00002984,C,C2
"106",E00002370,G,G1
"107",E00002372,G,G1
"108",E00002373,G,G2
"109",E00002378,C,C2
"110",E00011704,H,H2
"111",E00011785,A,A1
"112",E00011706,H,H2
"113",E00011787,F,F2
"114",E00011702,H,H2
"115",E00011783,H,H2
"116",E00008728,E,E2
"117",E00006574,C,C1
"118",E00019529,D,D2
"119",E00015514,E,E1
"120",E00013095,C,C2
"121",E00014560,F,F1
"122",E00005520,G,G2
"123",E00004578,E,E2
"124",E00004579,E,E2
"125",E00020751,H,H2
"126",E00020758,A,A1
"127",E00020753,A,A1
"128",E00020750,H,H2
"129",E00020755,A,A2
"130",E00020752,G,G1
"131",E00020757,A,A1
"132",E00004111,H,H2
"133",E00020759,A,A1
"134",E00004085,H,H2
"135",E00022262,G,G2
"136",E00003815,A,A1
"137",E00022265,C,C2
"138",E00007083,G,G2
"139",E00022264,C,C2
"140",E00004004,A,A1
"141",E00022267,C,C3
"142",E00003812,A,A2
"143",E00023254,F,F1
"144",E00007080,G,G2
"145",E00023257,C,C3
"146",E00003119,H,H1
"147",E00003198,A,A2
"148",E00007129,B,B1
"149",E00003939,A,A1
"150",E00003190,F,F2
"151",E00003111,H,H1
"152",E00003191,A,A2
"153",E00007128,A,A1
"154",E00021145,E,E2
"155",E00022076,H,H2
"156",E00022077,C,C1
"157",E00021143,B,B2
"158",E00021141,B,B2
"159",E00004875,A,A1
"160",E00001812,H,H2
"161",E00001893,A,A2
"162",E00018050,C,C3
"163",E00017821,C,C3
