No.,Variable Name,Variables,Non_PCT,Domain,GPT
v01,Usual residents per square kilometre,ts0060001,X,Demographic,The density of the area
v02,Aged 4 years and under,ts007a0002,,Demographic,Aged 4 years and under
v03,Aged 5 to 14 years,ts007a0003 & ts007a0004,,Demographic,Aged 5 to 14 years
v04,Aged 25 to 44 years,"ts007a0007 & ts007a0008 & ts007a0009 & ts007a0010	",,Demographic,Aged 25 to 44 years
v05,Aged 45 to 64 years,ts007a0011 & ts007a0012 & ts007a0013 &  ts007a0014,,Demographic,Aged 45 to 64 years
v06,Aged 65 to 84 years,ts007a0015 & ts007a0016 & ts007a0017 & ts007a0018 ,,Demographic,Aged 65 to 84 years
v07,Aged 85 years and over,ts007a0019,,Demographic,Aged 85 years and over
v08,Country of birth: Europe: United Kingdom,ts0040003,,Ethnicity and Origins,Born in United Kingdon
v09,Country of birth: Europe: EU countries,ts0040004,,Ethnicity and Origins,Born in the EU
v10,Country of birth: Europe: Non-EU countries,ts0040009,,Ethnicity and Origins,Not born in the EU
v11,Country of birth: Africa,ts0040011,,Ethnicity and Origins,Born in Africa
v12,Ethnic group: Bangladeshi,ts0210003,,Ethnicity and Origins,Ethnicity Bangladeshi
v13,Ethnic group: Chinese,ts0210004,,Ethnicity and Origins,Ethnicity Chinese
v14,Ethnic group: Indian,ts0210005,,Ethnicity and Origins,Ethnicity Indian
v15,Ethnic group: Pakistani,ts0210006,,Ethnicity and Origins,Ethnicity Pakistani
v16,Ethnic group: Other Asian,ts0210007,,Ethnicity and Origins,Ethnicity Other Asian
v17,Ethnic group: Black,ts0210008,,Ethnicity and Origins,Ethnicity Black
v18,Ethnic group: Mixed or Multiple ethnic groups,ts0210012,,Ethnicity and Origins,Ethnicity Mixed or Multiple ethnic groups
v19,Ethnic group: White,ts0210017,,Ethnicity and Origins,Ethnicity White
v20,Cannot speak English well or at all,ts0290006,,Ethnicity and Origins,Cannot speak English well or at all
v21,No religion,ts0300002,,Ethnicity and Origins,No religion
